product_id,product_name,platform,product_price
1,Flowdesk,basic,$1826.63
2,Fix San,c#,$462.91
3,Matsoft,javascript,$1189.43
4,Voltsillam,basic,$647.39
5,Stringtough,basic,$1576.88
6,Greenlam,assembly,$246.98
7,Span,basic,$1148.87
8,Zoolab,assembly,$692.51
9,Cardify,basic,$294.92
10,Cookley,basic,$160.20
11,Flowdesk,basic,$815.19
12,Rank,basic,$971.03
13,Fix San,basic,$1060.74
14,Treeflex,basic,$328.64
15,Konklab,javascript,$1146.15
16,Voyatouch,assembly,$672.17
17,Cardguard,assembly,$356.91
18,Voltsillam,javascript,$1687.55
19,Daltfresh,javascript,$1063.97
20,Hatity,assembly,$892.21
21,Bigtax,javascript,$990.34
22,Tresom,basic,$1412.97
23,Span,basic,$1621.91
24,Tresom,assembly,$1794.49
25,Alpha,basic,$1138.16
26,Bamity,javascript,$1551.14
27,Job,basic,$280.68
28,Aerified,basic,$1073.54
29,Otcom,basic,$877.20
30,Matsoft,javascript,$1026.97
31,Quo Lux,c#,$114.35
32,Cookley,c#,$1652.13
33,Tresom,basic,$1703.79
34,Opela,ruby,$1349.59
35,Konklab,basic,$871.87
36,Quo Lux,basic,$1919.67
37,Fix San,bash,$1030.79
38,Otcom,basic,$343.02
39,Keylex,basic,$1168.29
40,Job,basic,$1119.76
41,Zaam-Dox,assembly,$363.85
42,Domainer,ruby,$1044.42
43,Prodder,basic,$239.66
44,Job,basic,$1027.56
45,Redhold,basic,$768.80
46,Home Ing,javascript,$181.51
47,Sonsing,basic,$1966.28
48,Cookley,basic,$1616.69
49,Flexidy,javascript,$270.41
50,Tres-Zap,assembly,$1320.68
51,Tres-Zap,basic,$1272.51
52,Treeflex,assembly,$599.87
53,Alphazap,basic,$591.64
54,It,basic,$1151.97
55,Ventosanzap,assembly,$369.36
56,Zaam-Dox,basic,$1916.39
57,Greenlam,c#,$780.60
58,Y-Solowarm,basic,$375.72
59,Job,basic,$1769.66
60,Toughjoyfax,javascript,$1964.00
61,Home Ing,assembly,$1169.73
62,Kanlam,basic,$1459.85
63,Flowdesk,basic,$1545.42
64,Andalax,javascript,$1173.16
65,Sub-Ex,basic,$737.66
66,Zamit,basic,$1250.79
67,Domainer,basic,$609.17
68,Kanlam,basic,$761.17
69,Bamity,assembly,$156.16
70,Zontrax,basic,$1059.75
71,It,basic,$459.22
72,Ronstring,javascript,$1713.49
73,Bytecard,assembly,$1636.10
74,Daltfresh,assembly,$1091.09
75,Kanlam,assembly,$691.32
76,Zaam-Dox,basic,$912.82
77,Bamity,assembly,$1833.15
78,Fix San,basic,$1209.64
79,Stringtough,c#,$1650.97
80,Fintone,javascript,$1427.22
81,Zathin,c,$1891.54
82,Solarbreeze,basic,$746.44
83,Greenlam,basic,$1282.61
84,Tres-Zap,c,$572.11
85,Zathin,basic,$560.26
86,Zoolab,basic,$417.20
87,Holdlamis,assembly,$783.59
88,Redhold,basic,$762.45
89,Kanlam,basic,$1554.36
90,Domainer,basic,$1232.90
91,Alpha,basic,$1770.62
92,Voyatouch,javascript,$1402.57
93,Transcof,basic,$993.50
94,Fintone,basic,$1167.36
95,Voltsillam,c#,$1819.70
96,Redhold,basic,$1302.73
97,Greenlam,javascript,$1405.57
98,Zamit,basic,$1139.72
99,Konklab,c#,$1170.92
100,Zathin,c#,$746.43
101,Cookley,basic,$1024.01
102,Y-Solowarm,assembly,$1211.02
103,Y-find,javascript,$457.94
104,Lotstring,basic,$846.82
105,Tin,basic,$1168.06
106,Fintone,basic,$709.58
107,Tres-Zap,basic,$146.15
108,Bytecard,assembly,$1296.23
109,Wrapsafe,basic,$474.44
110,Cardify,basic,$1690.86
111,Temp,basic,$712.45
112,Treeflex,bash,$113.78
113,Asoka,basic,$106.40
114,Span,javascript,$214.43
115,Asoka,javascript,$1515.17
116,Vagram,basic,$1680.93
117,Zaam-Dox,basic,$1119.40
118,Rank,basic,$1553.26
119,Flexidy,c#,$1138.66
120,Opela,basic,$1445.98
121,Overhold,assembly,$1137.95
122,Pannier,basic,$1357.56
123,Home Ing,basic,$906.33
124,Subin,assembly,$619.32
125,Wrapsafe,basic,$904.85
126,Ronstring,basic,$1005.86
127,Temp,basic,$1939.86
128,Zontrax,basic,$315.77
129,Job,basic,$747.74
130,Treeflex,javascript,$1339.54
131,Voltsillam,basic,$1581.28
132,Wrapsafe,assembly,$616.64
133,Aerified,javascript,$917.26
134,Wrapsafe,javascript,$444.17
135,Stronghold,basic,$1332.64
136,Andalax,assembly,$418.76
137,Kanlam,bash,$838.75
138,Namfix,assembly,$546.90
139,Toughjoyfax,c#,$1146.91
140,Gembucket,assembly,$1764.44
141,Cardify,basic,$107.01
142,Span,assembly,$253.28
143,Mat Lam Tam,basic,$893.58
144,Asoka,assembly,$1769.56
145,Biodex,bash,$362.26
146,Holdlamis,bash,$1341.21
147,Tin,basic,$1843.90
148,Home Ing,javascript,$775.03
149,Namfix,basic,$626.50
150,Aerified,basic,$139.31
151,Zoolab,assembly,$411.72
152,Tres-Zap,basic,$1277.82
153,Zathin,basic,$1948.13
